"id_barrier","id_links","type","pass_u","pass_d","num","den","index","index_bl","d_index","source","lon","lat","geometry"
1105,72,"dam",0,0,149873.910605174,5225437.09253873,0.0286816026967724,0.0286814636731808,0.000484715819182957,"1",-832713.289999999,-1029948.36,c(-832713.289999999, -1029948.36)
1114,73,"dam",0,0,149883.807514514,5225437.09253873,0.028683496683661,0.0286814636731808,0.00708823825513795,"1",-827630.758000001,-1030422.155,c(-827630.758000001, -1030422.155)
1121,74,"dam",0,0,149883.955335175,5225437.09253873,0.0286835249723301,0.0286814636731808,0.0071868687483242,"1",-828759.092999998,-1030464.991,c(-828759.092999998, -1030464.991)
1142,75,"dam",0,0,149875.256614027,5225437.09253873,0.028681860284574,0.0286814636731808,0.00138281434217004,"1",-832431.239874374,-1030158.31283243,c(-832431.239874374, -1030158.31283243)
1153,76,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-806900.579999998,-1007561.85,c(-806900.579999998, -1007561.85)
1175,77,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-806658.559999999,-1007554.8,c(-806658.559999999, -1007554.8)
1184,78,"dam",0,0,149877.090696631,5225437.09253873,0.0286822112758063,0.0286814636731808,0.0026065706898003,"1",-806413.98,-1007574.6,c(-806413.98, -1007574.6)
1185,79,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-804660.329999998,-1007055.03,c(-804660.329999998, -1007055.03)
1202,80,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-809421.050000001,-1009062.92,c(-809421.050000001, -1009062.92)
1210,81,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-809158.041999999,-1008940.552,c(-809158.041999999, -1008940.552)
1219,82,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-809703.73,-1009039.58,c(-809703.73, -1009039.58)
1231,83,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-806531.777130152,-1007566.85008815,c(-806531.777130152, -1007566.85008815)
1232,84,"dam",0,0,149934.257559478,5225437.09253873,0.0286931513870036,0.0286814636731808,0.0407500605826906,"1",-805921.028999999,-1007309.212,c(-805921.028999999, -1007309.212)
1174,85,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-806583.469999999,-1007561.33,c(-806583.469999999, -1007561.33)
1203,86,"dam",0,0,149875.434482573,5225437.09253873,0.0286818943235536,0.0286814636731808,0.00150149370914815,"1",-809332.690000001,-1009039.8,c(-809332.690000001, -1009039.8)
1176,87,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-806718.334371462,-1007548.91518257,c(-806718.334371462, -1007548.91518257)
1288,88,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-824196.563000001,-1009368.487,c(-824196.563000001, -1009368.487)
1303,89,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-815826.879999999,-1007244.55,c(-815826.879999999, -1007244.55)
1304,90,"dam",0,0,149874.614547517,5225437.09253873,0.0286817374113104,0.0286814636731808,0.000954407810825891,"1",-812398.859999999,-1007382.28,c(-812398.859999999, -1007382.28)
1313,91,"dam",0,0,149873.924503513,5225437.09253873,0.0286816053565192,0.0286814636731808,0.000493989219101937,"1",-817674.208999999,-1007940.337,c(-817674.208999999, -1007940.337)
1324,92,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-814052.177999999,-1006785.874,c(-814052.177999999, -1006785.874)
2,93,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-820950.965999998,-1008942.627,c(-820950.965999998, -1008942.627)
11,94,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-821749.370000001,-1009692.748,c(-821749.370000001, -1009692.748)
21,95,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-819393.756999999,-1008546,c(-819393.756999999, -1008546)
29,96,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-822167.210999999,-1009655.071,c(-822167.210999999, -1009655.071)
50,97,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-820456.695999999,-1008640.886,c(-820456.695999999, -1008640.886)
51,98,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-814474.68,-1006691.62,c(-814474.68, -1006691.62)
1218,99,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-809771.100000001,-1008994.24,c(-809771.100000001, -1008994.24)
77,100,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-821187.370102763,-1009287.75005108,c(-821187.370102763, -1009287.75005108)
87,101,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-815043.864,-1006684.845,c(-815043.864, -1006684.845)
1272,102,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-809256.600000001,-1009000.38,c(-809256.600000001, -1009000.38)
1220,103,"dam",0,0,149873.677257217,5225437.09253873,0.0286815580406121,0.0286814636731808,0.000329018882703726,"1",-809656.34,-1009055.53,c(-809656.34, -1009055.53)
124,104,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-803049.340999998,-1006836.582,c(-803049.340999998, -1006836.582)
135,105,"dam",0,0,149873.363536284,5225437.09253873,0.0286814980033506,0.0286814636731808,0.000119694622758261,"1",-819035.022999998,-1008524.35,c(-819035.022999998, -1008524.35)
145,106,"dam",0,0,149877.790864553,5225437.09253873,0.0286823452680273,0.0286814636731808,0.00307374427096146,"1",-819589,-1008550.816,c(-819589, -1008550.816)
156,107,"dam",0,0,149873.843506228,5225437.09253873,0.0286815898559432,0.0286814636731808,0.00043994533839091,"1",-818037.517999999,-1008144.076,c(-818037.517999999, -1008144.076)
178,108,"dam",0,0,149874.437266474,5225437.09253873,0.0286817034847623,0.0286814636731808,0.000836120444177676,"1",-816931.364999998,-1007632.934,c(-816931.364999998, -1007632.934)
195,109,"dam",0,0,149873.328262098,5225437.09253873,0.028681491252875,0.0286814636731808,9.6158600811522e-05,"1",-816305.129999999,-1007281.53,c(-816305.129999999, -1007281.53)
208,110,"dam",0,0,149873.1980994,5225437.09253873,0.0286814663434377,0.0286814636731808,9.31004386455288e-06,"1",-816160.079999998,-1007290.96,c(-816160.079999998, -1007290.96)
209,111,"dam",0,0,149873.30412104,5225437.09253873,0.0286814866329632,0.0286814636731808,8.00509439243056e-05,"1",-816026.93,-1007265,c(-816026.93, -1007265)
234,112,"dam",0,0,149873.196071989,5225437.09253873,0.0286814659554488,0.0286814636731808,7.95729269423217e-06,"1",-812235.166999999,-1007475.986,c(-812235.166999999, -1007475.986)
244,113,"dam",0,0,149873.262127604,5225437.09253873,0.0286814785966143,0.0286814636731808,5.20316316390971e-05,"1",-812149.225000001,-1007571.81,c(-812149.225000001, -1007571.81)
245,114,"dam",0,0,149873.372852363,5225437.09253873,0.0286814997861832,0.0286814636731808,0.000125910597803681,"1",-811857.989,-1007808.226,c(-811857.989, -1007808.226)
256,115,"dam",0,0,149873.257427474,5225437.09253873,0.0286814776971432,0.0286814636731808,4.88955603281684e-05,"1",-811629.105,-1007877.944,c(-811629.105, -1007877.944)
273,116,"dam",0,0,149873.475353818,5225437.09253873,0.0286815194020455,0.0286814636731808,0.000194302722232444,"1",-811340.960999999,-1008058.875,c(-811340.960999999, -1008058.875)
293,117,"dam",0,0,149873.953555399,5225437.09253873,0.0286816109162237,0.0286814636731808,0.000513373531237136,"1",-810744.105999999,-1008504.902,c(-810744.105999999, -1008504.902)
301,118,"dam",0,0,149876.511114898,5225437.09253873,0.0286821003603513,0.0286814636731808,0.00221985592413783,"1",-815634.989999998,-1007105.583,c(-815634.989999998, -1007105.583)
311,119,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-813343.309999999,-1006831.81,c(-813343.309999999, -1006831.81)
322,120,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-813684.750127502,-1006790.78329309,c(-813684.750127502, -1006790.78329309)
194,121,"dam",0,0,149873.194051727,5225437.09253873,0.0286814655688281,0.0286814636731808,6.60931162486493e-06,"1",-816210.252265918,-1007282.66547636,c(-816210.252265918, -1007282.66547636)
352,122,"dam",0,0,149873.337446693,5225437.09253873,0.0286814930105451,0.0286814636731808,0.000102286845012959,"1",-819227.138,-1008509.126,c(-819227.138, -1008509.126)
369,123,"dam",0,0,149873.847276687,5225437.09253873,0.0286815905775017,0.0286814636731808,0.000442461104401143,"1",-818644.756999999,-1008431.885,c(-818644.756999999, -1008431.885)
233,124,"dam",0,0,149873.190354344,5225437.09253873,0.0286814648612543,0.0286814636731808,4.14230408617942e-06,"1",-812209.609999999,-1007494.16,c(-812209.609999999, -1007494.16)
395,125,"dam",0,0,149873.242668194,5225437.09253873,0.0286814748726368,0.0286814636731808,3.90477142236062e-05,"1",-811490.963,-1007940.476,c(-811490.963, -1007940.476)
406,126,"dam",0,0,149873.944404894,5225437.09253873,0.0286816091650773,0.0286814636731808,0.000507268032563488,"1",-810267.48,-1008661.52,c(-810267.48, -1008661.52)
416,127,"dam",0,0,149906.517054794,5225437.09253873,0.0286878426436024,0.0286814636731808,0.0222407422935034,"1",-820104.291000001,-1069119.564,c(-820104.291000001, -1069119.564)
425,128,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-819877.175000001,-1069081.057,c(-819877.175000001, -1069081.057)
442,129,"dam",0,0,149988.342720905,5225437.09253873,0.0287035017482212,0.0286814636731808,0.0768373444656213,"1",-810566.092,-1063921.929,c(-810566.092, -1063921.929)
443,130,"dam",0,0,150418.27348035,5225437.09253873,0.0287857782643922,0.0286814636731808,0.363700375964005,"1",-819172.140000001,-1067511.54,c(-819172.140000001, -1067511.54)
455,131,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-817331.949999999,-1067565.21,c(-817331.949999999, -1067565.21)
463,132,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-815265.574000001,-1065033.276,c(-815265.574000001, -1065033.276)
481,133,"dam",0,0,149903.214842816,5225437.09253873,0.0286872106941751,0.0286814636731808,0.0200374048540733,"1",-811214.004000001,-1061542.95,c(-811214.004000001, -1061542.95)
489,134,"dam",0,0,149892.738113896,5225437.09253873,0.0286852057463142,0.0286814636731808,0.0130470089534382,"1",-810068.784000002,-1058191.333,c(-810068.784000002, -1058191.333)
502,135,"dam",0,0,149889.272889416,5225437.09253873,0.0286845426009317,0.0286814636731808,0.0107349045571667,"1",-809927.254000001,-1056116.85,c(-809927.254000001, -1056116.85)
508,136,"dam",0,0,149966.815943884,5225437.09253873,0.0286993821355189,0.0286814636731808,0.0624740164666005,"1",-807873.878115321,-1054571.15977816,c(-807873.878115321, -1054571.15977816)
516,137,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-811426.923,-1063777.075,c(-811426.923, -1063777.075)
520,138,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-819917.545000002,-1071314.735,c(-819917.545000002, -1071314.735)
521,139,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-820378.989,-1069819.804,c(-820378.989, -1069819.804)
522,140,"dam",0,0,149874.638557418,5225437.09253873,0.0286817420061223,0.0286814636731808,0.000970427955246842,"1",-812231.477000002,-1098978.798,c(-812231.477000002, -1098978.798)
523,141,"dam",0,0,149873.799829907,5225437.09253873,0.0286815814975378,0.0286814636731808,0.000410803152520896,"1",-814084.129999999,-1087065.121,c(-814084.129999999, -1087065.121)
524,142,"dam",0,0,149873.650611177,5225437.09253873,0.028681552941318,0.0286814636731808,0.000311239824492195,"1",-814014.502,-1086867.664,c(-814014.502, -1086867.664)
526,143,"dam",0,0,149873.484611686,5225437.09253873,0.0286815211737381,0.0286814636731808,0.000200479856744943,"1",-814376.760000002,-1086530.115,c(-814376.760000002, -1086530.115)
527,144,"dam",0,0,149874.767709167,5225437.09253873,0.0286817667220929,0.0286814636731808,0.00105660197644667,"1",-814604.659000002,-1086538.031,c(-814604.659000002, -1086538.031)
528,145,"dam",0,0,149880.263043585,5225437.09253873,0.0286828183727626,0.0286814636731808,0.00472325818948508,"1",-819040.388,-1072229.277,c(-819040.388, -1072229.277)
529,146,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-819495.923,-1071884.27,c(-819495.923, -1071884.27)
530,147,"dam",0,0,149874.860363604,5225437.09253873,0.0286817844535161,0.0286814636731808,0.00111842386766073,"1",-819720.971000001,-1071369.691,c(-819720.971000001, -1071369.691)
531,148,"dam",0,0,149874.894133566,5225437.09253873,0.0286817909161262,0.0286814636731808,0.00114095622555562,"1",-820273.050999999,-1071229.232,c(-820273.050999999, -1071229.232)
532,149,"dam",0,0,149875.950285849,5225437.09253873,0.0286819930336264,0.0286814636731808,0.00184565352580699,"1",-820405.081999999,-1069939.286,c(-820405.081999999, -1069939.286)
533,150,"dam",0,0,149877.678711687,5225437.09253873,0.0286823238051594,0.0286814636731808,0.00299891242777174,"1",-813657.212000001,-1084246.228,c(-813657.212000001, -1084246.228)
535,151,"dam",0,0,149873.633646791,5225437.09253873,0.0286815496948172,0.0286814636731808,0.00029992066444675,"1",-814159.568999998,-1083883.081,c(-814159.568999998, -1083883.081)
536,152,"dam",0,0,149873.347847275,5225437.09253873,0.0286814950009207,0.0286814636731808,0.000109226433660378,"1",-814339.932999998,-1083625.811,c(-814339.932999998, -1083625.811)
537,153,"dam",0,0,149873.334463875,5225437.09253873,0.0286814924397186,0.0286814636731808,0.000100296617022845,"1",-814221.936000001,-1083542.845,c(-814221.936000001, -1083542.845)
538,154,"dam",0,0,149873.876316666,5225437.09253873,0.0286815961349276,0.0286814636731808,0.000461837471944562,"1",-814141.649,-1083362.848,c(-814141.649, -1083362.848)
539,155,"dam",0,0,149875.993616477,5225437.09253873,0.028682001325876,0.0286814636731808,0.00187456505450977,"1",-813332.123,-1083069.764,c(-813332.123, -1083069.764)
540,156,"dam",0,0,149873.753710199,5225437.09253873,0.0286815726715378,0.0286814636731808,0.000380030664525964,"1",-814786.068,-1098036.964,c(-814786.068, -1098036.964)
541,157,"dam",0,0,149874.020492398,5225437.09253873,0.028681623726061,0.0286814636731808,0.000558035956755393,"1",-814245.68,-1098144.814,c(-814245.68, -1098144.814)
542,158,"dam",0,0,149875.870647252,5225437.09253873,0.0286819777930647,0.0286814636731808,0.00179251620394464,"1",-813725.903999999,-1098404.203,c(-813725.903999999, -1098404.203)
