"id_barrier","id_links","type","pass_u","pass_d","num","den","index","index_bl","d_index","source","lon","lat","geometry"
548,163,"dam",0,0,NA,NA,NA,NA,NA,NA,-810676.421,-1095804.534,c(-810676.421, -1095804.534)
549,164,"dam",0,0,NA,NA,NA,NA,NA,NA,-810686.822999999,-1095403.985,c(-810686.822999999, -1095403.985)
550,165,"dam",1,1,NA,NA,NA,NA,NA,NA,-810543.590999998,-1095218.277,c(-810543.590999998, -1095218.277)
551,166,"dam",0,0,NA,NA,NA,NA,NA,NA,-810428.316,-1094979.59,c(-810428.316, -1094979.59)
552,167,"dam",0,0,NA,NA,NA,NA,NA,NA,-810546.686999999,-1094841.579,c(-810546.686999999, -1094841.579)
553,168,"dam",0,0,NA,NA,NA,NA,NA,NA,-810694.563999999,-1094833.739,c(-810694.563999999, -1094833.739)
554,169,"dam",0,0,NA,NA,NA,NA,NA,NA,-811084.278999999,-1094716.098,c(-811084.278999999, -1094716.098)
556,170,"dam",0,0,NA,NA,NA,NA,NA,NA,-810954.993000001,-1094498.35,c(-810954.993000001, -1094498.35)
557,171,"dam",0,0,NA,NA,NA,NA,NA,NA,-810814.697000001,-1094064.318,c(-810814.697000001, -1094064.318)
558,172,"dam",0,0,NA,NA,NA,NA,NA,NA,-811167.368999999,-1093720.041,c(-811167.368999999, -1093720.041)
559,173,"dam",0,0,NA,NA,NA,NA,NA,NA,-817608.129000001,-1098716.304,c(-817608.129000001, -1098716.304)
560,174,"dam",0,0,NA,NA,NA,NA,NA,NA,-814900.556000002,-1098324.444,c(-814900.556000002, -1098324.444)
561,175,"dam",0,0,NA,NA,NA,NA,NA,NA,-815922.828000002,-1076126.371,c(-815922.828000002, -1076126.371)
562,176,"dam",0,0,NA,NA,NA,NA,NA,NA,-811351.135000002,-1093603.887,c(-811351.135000002, -1093603.887)
563,177,"dam",0,0,NA,NA,NA,NA,NA,NA,-811593.995000001,-1092520.961,c(-811593.995000001, -1092520.961)
564,178,"dam",0,0,NA,NA,NA,NA,NA,NA,-811943.170000002,-1092408.969,c(-811943.170000002, -1092408.969)
565,179,"dam",0,0,NA,NA,NA,NA,NA,NA,-812879.91,-1091378.162,c(-812879.91, -1091378.162)
