"id_barrier","id_links","type","pass_u","pass_d","num","den","index","index_bl","d_index","source","lon","lat","geometry"
790,88,"dam",0,0,20483.7059690909,1154635.04297332,0.0177404159814368,0.0176411112863675,0.562916323451484,"1",-618381.796999998,-1167241.149,c(-618381.796999998, -1167241.149)
803,89,"dam",1,1,20369.0452882322,1154635.04297332,0.0176411112863675,0.0176411112863675,0,"1",-617279.868000001,-1169018.147,c(-617279.868000001, -1169018.147)
815,90,"dam",1,1,20369.0452882322,1154635.04297332,0.0176411112863675,0.0176411112863675,0,"1",-625507.579999998,-1164121.95,c(-625507.579999998, -1164121.95)
826,91,"dam",0,0,20373.4874945368,1154635.04297332,0.0176449585680967,0.0176411112863675,0.0218086132254214,"1",-619161.620999999,-1166095.563,c(-619161.620999999, -1166095.563)
827,92,"dam",0,0,20424.718947383,1154635.04297332,0.0176893288244456,0.0176411112863675,0.27332483365328,"1",-620072.239999998,-1166807.26,c(-620072.239999998, -1166807.26)
3,93,"dam",0,0,20448.7647963695,1154635.04297332,0.0177101543217599,0.0176411112863675,0.391375771466929,"1",-609634.623,-1173407.664,c(-609634.623, -1173407.664)
10,94,"dam",0,0,20475.8805750323,1154635.04297332,0.0177336386069701,0.0176411112863675,0.524498253542839,"1",-615494.772,-1169743.728,c(-615494.772, -1169743.728)
19,95,"dam",0,0,20395.2313828279,1154635.04297332,0.017663790395888,0.0176411112863675,0.128558281574666,"1",-614409.410999998,-1170210.523,c(-614409.410999998, -1170210.523)
21,96,"dam",0,0,21967.7511587384,1154635.04297332,0.0190257097187773,0.0176411112863675,7.8487030093148,"1",-607102.853,-1182358.712,c(-607102.853, -1182358.712)
22,97,"dam",0,0,20456.5640682764,1154635.04297332,0.0177169090724964,0.0176411112863675,0.429665597016116,"1",-607213.034000002,-1177321.043,c(-607213.034000002, -1177321.043)
23,98,"dam",0,0,24167.2224753686,1154635.04297332,0.0209306158014528,0.0176411112863675,18.6468100659126,"1",-598856.625,-1186562.002,c(-598856.625, -1186562.002)
24,99,"dam",1,1,20369.0452882322,1154635.04297332,0.0176411112863675,0.0176411112863675,0,"1",-582937.60393039,-1210347.25541463,c(-582937.60393039, -1210347.25541463)
25,100,"dam",1,1,20369.0452882322,1154635.04297332,0.0176411112863675,0.0176411112863675,0,"1",-587234.009,-1204193.447,c(-587234.009, -1204193.447)
26,101,"dam",1,1,20369.0452882322,1154635.04297332,0.0176411112863675,0.0176411112863675,0,"1",-590740.421999998,-1202702.576,c(-590740.421999998, -1202702.576)
27,102,"dam",0,0,29713.5447898302,1154635.04297332,0.0257341442827807,0.0176411112863675,45.8759817623688,"1",-593846.6389988,-1198882.65549865,c(-593846.6389988, -1198882.65549865)
